UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER,HOUSE CON,INVENTORY STATUS,HOLDING STATUS,HOUSE TAGGING,,,,
B042L021,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L022,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L024,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L028,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L029,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L030,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L031,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L032,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L033,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L034,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L035,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L036,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L037,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L038,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L041,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L042,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L043,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L044,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L045,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L046,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L047,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L048,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L049,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L050,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L051,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L052,VISMIN,ILOILO,1,,2,AMANI MID,40,36,"1,725,983.26",-,"1,725,983.26",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L002,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L003,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L004,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L005,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L006,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L007,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L008,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L009,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L010,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L011,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L012,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L013,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L016,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L017,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L018,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L019,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L020,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L021,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L022,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L023,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L026,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L029,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L030,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L031,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L032,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L004,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L005,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L006,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L007,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L008,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L009,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L012,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L013,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L014,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L015,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L019,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
