Unit Code,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ETD,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSECON REMARKS,
B012L004,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,101,54,"4,916,521.00","491,659.35","4,424,861.65",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L005,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,102,54,"4,939,259","493,934.92","4,445,324",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L006,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,102,54,"4,939,259","493,934.92","4,445,324",Feb-28,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B012L007,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,102,54,"4,939,259","493,934.92","4,445,324",Feb-28,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B012L008,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,102,54,"4,939,259","493,934.92","4,445,324",Feb-28,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B012L009,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,102,54,"4,939,259","493,934.92","4,445,324",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L010,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,114,54,"5,212,323","521,241.73","4,691,081",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L011,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,113,54,"5,189,584.00","518,966.16","4,670,617.84",Jan-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L012,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,108,54,"5,075,791.00","507,588.33","4,568,202.67",Jan-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L014,NOMA1,PANDI EXPANSION,4,A,4,CALISTA END,104,40,"4,335,014.00",-,"4,335,014.00",May-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L015,NOMA1,PANDI EXPANSION,4,A,4,CALISTA END,105,40,"4,364,260.00",-,"4,364,260.00",Apr-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L013,NOMA1,BALIWAG,3,C,1,UNNA CORNER,156,54,"7,326,229.16","732,624.55","6,593,604.61",Apr-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B008L001,NOMA1,BALIWAG,3,C,1,UNNA CORNER,149,54,"7,061,504.67","706,157.64","6,355,347.03",Mar-27,3%,3%,OPEN,MEMO TERM,YELLOW TAG
B009L001,NOMA1,BALIWAG,3,C,1,UNNA CORNER,142,54,"7,002,828.12","700,288.73","6,302,539.39",Mar-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B048L005,NOMA1,BALIWAG,2,C,1,UNNA CORNER,136,54,"6,261,454.79","626,148.73","5,635,306.06",Mar-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L001,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END CORNER,150,40,"6,132,921.47","613,298.73","5,519,622.74",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L006,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END CORNER,158,40,"6,368,785","636,887.67","5,731,897",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L007,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END,114,40,"5,272,744","527,276.11","4,745,468",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L023,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END CORNER,169,40,"6,693,210","669,322.47","6,023,887",Aug-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L058,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END,150,40,"6,265,663","626,567.51","5,639,096",Sep-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L062,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END,145,40,"6,113,733.19","611,382.13","5,502,351.06",Sep-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L112,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END,122,40,"5,257,562","525,756.67","4,731,806",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B043L010,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END,119,40,"5,117,355.90","511,741.70","4,605,614.20",Sep-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B043L020,SOMA1,IMPRESSIONS GEN TRI,1,,4,CALISTA END,120,40,"5,146,601.13","514,660.84","4,631,940.30",Sep-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L037,SOMA1,NAIC,2,A,B5,CALISTA MID,50,40,"2,344,613.00",-,"2,344,613.00",Mar-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L003,SOMA1,NAIC,1,B,B1,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Aug-28,67%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B007L003,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L004,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L005,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L006,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L007,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L008,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L009,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L012,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L013,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L014,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L015,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L016,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L017,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L018,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L019,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L026,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L027,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L032,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L033,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L034,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L035,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L036,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L040,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L044,NOMA1,BALIWAG EXPANSION,5,,B3,Calista End Corner,117,40,"4,828,495.00",-,"4,828,495.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L045,NOMA1,BALIWAG EXPANSION,5,,B3,Calista End Corner,120,40,"4,916,486.00",-,"4,916,486.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L053,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L054,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L055,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L056,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L059,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L062,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L063,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L064,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L066,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L072,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L073,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L074,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L075,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L076,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L077,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L078,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L079,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L082,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L083,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L084,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L085,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L086,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L087,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L088,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L089,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,44,40,"2,506,224.00",-,"2,506,224.00",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L001,NOMA1,BALIWAG EXPANSION,5,,B3,Calista End Corner,125,40,"5,013,412.00",-,"5,013,412.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
