UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,,
B006L014,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"7,928,411.00","792,848.00","7,135,563.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L016,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"7,928,411.00","792,848.00","7,135,563.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L018,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"7,928,411.00","792,848","7,135,563.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L019,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"7,928,411.00","792,848","7,135,563.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L021,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"7,928,411.00","792,848.00","7,135,563.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B010L001,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES,199,70,"8,849,419.00","884,948","7,964,471.00",Nov-2028,20%,FALLOUT,MEMO TERMS,YELLOW TAG,,,
B026L006,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,132,120,"9,247,555.00","924,756","8,322,799.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L001,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES CORNER,236,70,"10,097,268.00","1,009,732","9,087,536.00",Feb-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L004,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES CORNER,209,70,"9,293,385","929,345","8,364,040",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B005L016,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES,173,70,"7,994,554.00","799,463.00","7,195,091.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L002,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES,148,70,"7,331,017.00","733,105.00","6,597,912.00",Feb-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L003,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES,148,70,"7,331,017.00","733,105","6,597,912.00",Feb-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L006,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES,160,70,"7,688,276.00","768,833.00","6,919,443.00",Feb-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L007,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CHARLES,160,70,"7,688,276","768,833","6,919,443",Feb-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L019,SOMA3,IMPRESSIONS BATULAO EXP,3,,1,CALISTA MID,52,40,"2,978,149",0,"2,978,149",Nov-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L031,SOMA3,IMPRESSIONS BATULAO EXP,3,,1,CALISTA MID,50,40,"2,952,631",0,"2,952,631",Dec-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B008L041,SOMA3,IMPRESSIONS BATULAO EXP,3,,1,CALISTA MID,50,40,"2,952,631.00",0,"2,952,631.00",Dec-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B031L023,SOMA3,LIPA COVE,4,B,1,AMANI MID,40,36,"1,913,342.00",0,"1,913,342",Sep-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B031L045,SOMA3,LIPA COVE,4,B,1,AMANI MID,40,36,"2,075,932",0,"2,075,932",Aug-2026,12%,OPEN,MEMO TERMS,YELLOW TAG,,,
B035L003,SOMA3,LIPA COVE,4,B,1,AMANI MID,44,36,"1,964,513.00",0.00,"1,964,513.00",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B035L004,SOMA3,LIPA COVE,4,B,1,AMANI MID,44,36,"1,964,513.00",0.00,"1,964,513.00",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B035L006,SOMA3,LIPA COVE,4,B,1,AMANI MID,44,36,"1,964,513",0,"1,964,513",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B035L007,SOMA3,LIPA COVE,4,B,1,AMANI MID,44,36,"1,964,513.00",0.00,"1,964,513.00",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B035L010,SOMA3,LIPA COVE,4,B,1,AMANI MID,40,36,"1,913,342.00",0,"1,913,342.00",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
